date,state,cases_new,cases_recovered,cases_active,daily_full,FIXED,FIXED2,New_Infections,E= NewCt+1 / delta,dE = NewInf-NewC,S,S/N,S/N * I,beta=New_inf * N/IS,gamma=Rt+1/I_t,v_t = V/S,,,,,,,,,,,,date,line_state_number,line_Cases_new,Line_cases_new_Asymptomatic,line_cases_new_symptomatic,line_state,,
30/10/2021,Negeri Sembilan,213,257,2122,2218,,,161.4,875,-51.6,1033949,0.91589069,1943.520044,0.083045194,0.090009425,0.002145174,,,,,,,,,,,,30/10/2021,5,213,116,97,Negeri Sembilan,,
31/10/2021,Negeri Sembilan,175,191,2106,159,,,156.4,720,-18.6,1033774,0.915735672,1928.539325,0.081097646,0.058879392,0.000153805,,,,,,,,,,,,31/10/2021,5,175,70,105,Negeri Sembilan,,
01/11/2021,Negeri Sembilan,144,124,2123,3968,,,166.8,595,22.8,1033630,0.915608114,1943.836026,0.085809707,0.058878945,0.003838898,,,,,,,,,,,,01/11/2021,5,144,21,123,Negeri Sembilan,,
02/11/2021,Negeri Sembilan,119,125,2117,4629,,,167.8,780,48.8,1033511,0.915502702,1938.11922,0.086578781,0.054794521,0.004478907,,,,,,,,,,,,02/11/2021,5,119,19,100,Negeri Sembilan,,
03/11/2021,Negeri Sembilan,156,116,2157,1717,,,173.6,940,17.6,1033355,0.915364514,1974.441257,0.087923608,0.076031525,0.001661578,,,,,,,,,,,,03/11/2021,5,156,28,128,Negeri Sembilan,,
04/11/2021,Negeri Sembilan,188,164,2181,38,,,180.6,1135,-7.4,1033167,0.91519798,1996.046795,0.090478841,0.082989454,3.67801E-05,,,,,,,,,,,,04/11/2021,5,188,35,153,Negeri Sembilan,,
05/11/2021,Negeri Sembilan,227,181,2227,1499,,,175,745,-52,1032940,0.9149969,2037.698095,0.085881221,0.091154019,0.001451198,,,,,,,,,,,,05/11/2021,5,227,23,204,Negeri Sembilan,,
06/11/2021,Negeri Sembilan,149,203,2173,1080,,,169.4,740,20.4,1032791,0.914864913,1988.001455,0.085211205,0.102623102,0.00104571,,,,,,,,,,,,06/11/2021,5,149,31,118,Negeri Sembilan,,
07/11/2021,Negeri Sembilan,148,223,2096,103,,,194.6,955,46.6,1032643,0.914733812,1917.282069,0.101497846,0.073950382,9.97441E-05,,,,,,,,,,,,07/11/2021,5,148,12,136,Negeri Sembilan,,
08/11/2021,Negeri Sembilan,191,155,2132,3549,,,224.8,800,33.8,1032452,0.91456462,1949.851771,0.115290815,0.094746717,0.003437448,,,,,,,,,,,,08/11/2021,5,191,23,168,Negeri Sembilan,,
09/11/2021,Negeri Sembilan,160,202,2089,2524,,,234,995,74,1032292,0.91442289,1910.229416,0.122498375,0.066539014,0.002445045,,,,,,,,,,,,09/11/2021,5,160,18,142,Negeri Sembilan,,
10/11/2021,Negeri Sembilan,199,139,2148,2965,,,236.8,1375,37.8,1032093,0.914246612,1963.801722,0.120582438,0.121973929,0.002872803,,,,,,,,,,,,10/11/2021,5,199,12,187,Negeri Sembilan,,
11/11/2021,Negeri Sembilan,275,262,2160,2546,,,244.8,1495,-30.2,1031818,0.914003012,1974.246505,0.123996674,0.131018519,0.002467489,,,,,,,,,,,,11/11/2021,5,275,13,262,Negeri Sembilan,,
12/11/2021,Negeri Sembilan,299,283,2174,2740,,,229.4,1185,-69.6,1031519,0.913738152,1986.466743,0.11548142,0.098436063,0.002656277,,,,,,,,,,,,12/11/2021,5,299,112,187,Negeri Sembilan,,
13/11/2021,Negeri Sembilan,237,214,2196,1684,,,218.4,870,-18.6,1031282,0.913528213,2006.107956,0.108867521,0.066484517,0.001632919,,,,,,,,,,,,13/11/2021,5,237,27,210,Negeri Sembilan,,
14/11/2021,Negeri Sembilan,174,146,2221,105,,,218.8,1195,44.8,1031108,0.913374081,2028.603834,0.107857432,0.072489869,0.000101832,,,,,,,,,,,,14/11/2021,5,174,19,155,Negeri Sembilan,,
15/11/2021,Negeri Sembilan,239,161,2297,1964,,,226.8,990,-12.2,1030869,0.91316237,2097.533965,0.108126974,0.060078363,0.001905189,,,,,,,,,,,,15/11/2021,5,239,62,177,Negeri Sembilan,,
16/11/2021,Negeri Sembilan,198,138,2356,2489,,,223.6,1220,25.6,1030671,0.912986978,2150.997321,0.10395178,0.069609508,0.002414932,,,,,,,,,,,,16/11/2021,5,198,39,159,Negeri Sembilan,,
17/11/2021,Negeri Sembilan,244,164,2434,1485,,,223.4,1195,-20.6,1030427,0.912770839,2221.684222,0.100554344,0.082990961,0.00144115,,,,,,,,,,,,17/11/2021,5,244,9,235,Negeri Sembilan,,
18/11/2021,Negeri Sembilan,239,202,2470,899,,,201,1070,-38,1030188,0.912559128,2254.021047,0.089173968,0.0951417,0.000872656,,,,,,,,,,,,18/11/2021,5,239,19,220,Negeri Sembilan,,
19/11/2021,Negeri Sembilan,214,235,2449,1215,,,181,1115,-33,1029974,0.912369563,2234.393061,0.081006338,0.068599428,0.001179641,,,,,,,,,,,,19/11/2021,5,214,5,209,Negeri Sembilan,,
20/11/2021,Negeri Sembilan,223,168,2503,313,,,178.6,985,-44.4,1029751,0.912172026,2283.166581,0.078224691,0.057530963,0.000303957,,,,,,,,,,,,20/11/2021,5,223,2,221,Negeri Sembilan,,
21/11/2021,Negeri Sembilan,197,144,2554,38,,,170,660,-27,1029554,0.91199752,2329.241665,0.072985128,0.078700078,3.69092E-05,,,,,,,,,,,,21/11/2021,5,197,54,143,Negeri Sembilan,,
22/11/2021,Negeri Sembilan,132,201,2485,795,,,162.4,695,30.4,1029422,0.911880592,2266.02327,0.071667402,0.053923541,0.000772278,,,,,,,,,,,,22/11/2021,5,132,6,126,Negeri Sembilan,,
23/11/2021,Negeri Sembilan,139,134,2487,592,,,176.8,1010,37.8,1029283,0.911757463,2267.540811,0.077969931,0.06433454,0.000575158,,,,,,,,,,,,23/11/2021,5,139,3,136,Negeri Sembilan,,
24/11/2021,Negeri Sembilan,202,160,2529,370,,,179.4,900,-22.6,1029081,0.911578528,2305.382097,0.077817903,0.097271649,0.000359544,,,,,,,,,,,,24/11/2021,5,202,32,170,Negeri Sembilan,,
25/11/2021,Negeri Sembilan,180,246,2461,120,,,160.4,795,-19.6,1028901,0.911419081,2243.002357,0.071511294,0.106054449,0.000116629,,,,,,,,,,,,25/11/2021,5,180,4,176,Negeri Sembilan,,
26/11/2021,Negeri Sembilan,159,261,2357,346,,,154,1020,-5,1028742,0.911278235,2147.882801,0.071698512,0.087823504,0.000336333,,,,,,,,,,,,26/11/2021,5,159,6,153,Negeri Sembilan,,
27/11/2021,Negeri Sembilan,204,207,2352,19,,,158.2,760,-45.8,1028538,0.911097529,2142.901387,0.073825142,0.080782313,1.84728E-05,,,,,,,,,,,,27/11/2021,5,204,13,191,Negeri Sembilan,,
28/11/2021,Negeri Sembilan,152,190,2312,21,,,153.6,535,1.6,1028386,0.910962884,2106.146188,0.072929411,0.097750865,2.04203E-05,,,,,,,,,,,,28/11/2021,5,152,9,143,Negeri Sembilan,,
29/11/2021,Negeri Sembilan,107,226,2190,269,,,167,740,60,1028279,0.910868102,1994.801143,0.083717618,0.09086758,0.000261602,,,,,,,,,,,,29/11/2021,5,107,7,100,Negeri Sembilan,,
30/11/2021,Negeri Sembilan,148,199,2138,371,,,191.6,900,43.6,1028131,0.910737001,1947.155707,0.098399938,0.10383536,0.000360849,,,,,,,,,,,,30/11/2021,5,148,9,139,Negeri Sembilan,,
01/12/2021,Negeri Sembilan,180,222,2094,403,,,183.4,905,3.4,1027951,0.910577553,1906.749397,0.096184638,0.098853868,0.000392042,,,,,,,,,,,,01/12/2021,5,180,25,155,Negeri Sembilan,,
02/12/2021,Negeri Sembilan,181,207,2066,291,,,185.2,1095,4.2,1027770,0.91041722,1880.921977,0.098462351,0.101161665,0.000283137,,,,,,,,,,,,02/12/2021,5,181,29,152,Negeri Sembilan,,
03/12/2021,Negeri Sembilan,219,209,2074,265,,,191.4,1150,-27.6,1027551,0.910223226,1887.802971,0.101387699,0.102217936,0.000257895,,,,,,,,,,,,03/12/2021,5,219,69,150,Negeri Sembilan,,
04/12/2021,Negeri Sembilan,230,212,2091,40,,,197.8,535,-32.2,1027321,0.910019488,1902.850749,0.103949298,0.096126255,3.89362E-05,,,,,,,,,,,,04/12/2021,5,230,35,195,Negeri Sembilan,,
05/12/2021,Negeri Sembilan,107,201,1995,14,,,199,945,92,1027214,0.909924705,1815.299787,0.109623766,0.069172932,1.36291E-05,,,,,,,,,,,,05/12/2021,5,107,4,103,Negeri Sembilan,,
06/12/2021,Negeri Sembilan,189,138,2043,298,,,230.6,1060,41.6,1027025,0.909757286,1858.634135,0.124069603,0.066079295,0.000290158,,,,,,,,,,,,06/12/2021,5,189,35,154,Negeri Sembilan,,
07/12/2021,Negeri Sembilan,212,135,2120,285,,,225,1255,13,1026813,0.909569492,1928.287324,0.116683856,0.084433962,0.000277558,,,,,,,,,,,,07/12/2021,5,212,55,157,Negeri Sembilan,,
08/12/2021,Negeri Sembilan,251,179,2191,201,,,212.4,1180,-38.6,1026562,0.909347152,1992.37961,0.10660619,0.085349156,0.000195799,,,,,,,,,,,,08/12/2021,5,251,37,214,Negeri Sembilan,,
09/12/2021,Negeri Sembilan,236,187,2239,215,,,186.2,1325,-49.8,1026326,0.909138099,2035.560204,0.09147359,0.075926753,0.000209485,,,,,,,,,,,,09/12/2021,5,236,82,154,Negeri Sembilan,,
10/12/2021,Negeri Sembilan,265,170,2332,210,,,170.8,805,-94.2,1026061,0.908903357,2119.562629,0.080582663,0.093053173,0.000204666,,,,,,,,,,,,10/12/2021,5,265,45,220,Negeri Sembilan,,
11/12/2021,Negeri Sembilan,161,217,2274,24,,,158.2,745,-2.8,1025900,0.908760741,2066.521924,0.076553749,0.066402814,2.33941E-05,,,,,,,,,,,,11/12/2021,5,161,31,130,Negeri Sembilan,,
12/12/2021,Negeri Sembilan,149,151,2271,21,,,166.6,600,17.6,1025751,0.908628754,2063.4959,0.080736773,0.056362836,2.04728E-05,,,,,,,,,,,,12/12/2021,5,149,30,119,Negeri Sembilan,,
13/12/2021,Negeri Sembilan,120,128,2261,268,,,173.8,795,53.8,1025631,0.908522455,2054.169272,0.084608412,0.067226891,0.000261303,,,,,,,,,,,,13/12/2021,5,120,36,84,Negeri Sembilan,,
14/12/2021,Negeri Sembilan,159,152,2266,265,,,175.4,1010,16.4,1025472,0.90838161,2058.392729,0.085212116,0.07325684,0.000258418,,,,,,,,,,,,14/12/2021,5,159,33,126,Negeri Sembilan,,
15/12/2021,Negeri Sembilan,202,166,2300,242,,,168,1015,-34,1025270,0.908202675,2088.866153,0.080426407,0.076521739,0.000236035,,,,,,,,,,,,15/12/2021,5,202,43,159,Negeri Sembilan,,
16/12/2021,Negeri Sembilan,203,176,2325,187,,,147.8,925,-55.2,1025067,0.908022854,2111.153136,0.070009133,0.090752688,0.000182427,,,,,,,,,,,,16/12/2021,5,203,48,155,Negeri Sembilan,,
17/12/2021,Negeri Sembilan,185,211,2297,182,,,126.2,640,-58.8,1024882,0.907858978,2085.352072,0.060517359,0.098389203,0.000177581,,,,,,,,,,,,17/12/2021,5,185,41,144,Negeri Sembilan,,
18/12/2021,Negeri Sembilan,128,226,2196,13,,,113.4,610,-14.6,1024754,0.907745593,1993.409322,0.056887463,0.055100182,1.2686E-05,,,,,,,,,,,,18/12/2021,5,128,38,90,Negeri Sembilan,,
19/12/2021,Negeri Sembilan,122,121,2197,14,,,118.4,505,-3.6,1024632,0.907637523,1994.079639,0.059375763,0.080564406,1.36634E-05,,,,,,,,,,,,19/12/2021,5,122,39,83,Negeri Sembilan,,
20/12/2021,Negeri Sembilan,101,177,2120,249,,,122.2,475,21.2,1024531,0.907548056,1924.001878,0.063513452,0.097641509,0.000243038,,,,,,,,,,,,20/12/2021,5,101,34,67,Negeri Sembilan,,
21/12/2021,Negeri Sembilan,95,207,2007,188,,,126.8,605,31.8,1024436,0.907463903,1821.280053,0.069621363,0.113602392,0.000183516,,,,,,,,,,,,21/12/2021,5,95,12,83,Negeri Sembilan,,
22/12/2021,Negeri Sembilan,121,228,1900,218,,,130.6,765,9.6,1024315,0.907356719,1723.977766,0.075755037,0.129473684,0.000212825,,,,,,,,,,,,22/12/2021,5,121,22,99,Negeri Sembilan,,
23/12/2021,Negeri Sembilan,153,246,1807,171,,,124.8,705,-28.2,1024162,0.907221189,1639.348688,0.076127794,0.134477034,0.000166966,,,,,,,,,,,,23/12/2021,5,153,44,109,Negeri Sembilan,,
24/12/2021,Negeri Sembilan,141,243,1704,175,,,113,620,-28,1024021,0.907096288,1545.692075,0.073106411,0.098591549,0.000170895,,,,,,,,,,,,24/12/2021,5,141,39,102,Negeri Sembilan,,
25/12/2021,Negeri Sembilan,124,168,1659,3,,,108.4,570,-15.6,1023897,0.906986447,1504.690516,0.072041392,0.08318264,2.92998E-06,,,,,,,,,,,,25/12/2021,5,124,4,120,Negeri Sembilan,,
26/12/2021,Negeri Sembilan,114,138,1633,54,,,115.8,460,1.8,1023783,0.906885464,1480.943962,0.078193371,0.080220453,5.27456E-05,,,,,,,,,,,,26/12/2021,5,114,27,87,Negeri Sembilan,,
27/12/2021,Negeri Sembilan,92,131,1593,189,,,92,470,0,1023691,0.906803968,1444.538722,0.063688151,0.092906466,0.000184626,,,,,,,,,,,,27/12/2021,5,92,17,75,Negeri Sembilan,,
28/12/2021,Negeri Sembilan,94,148,1537,221,,,94,590,0,1023597,0.906720702,1393.629718,0.067449767,0.11581002,0.000215905,,,,,,,,,,,,28/12/2021,5,94,23,71,Negeri Sembilan,,
29/12/2021,Negeri Sembilan,118,178,1477,163,,,118,805,0,1023479,0.906616175,1339.072091,0.088120722,0.120514557,0.000159261,,,,,,,,,,,,29/12/2021,5,118,24,94,Negeri Sembilan,,
30/12/2021,Negeri Sembilan,161,178,1460,142,,,161,770,0,1023318,0.906473558,1323.451395,0.121651615,0.115753425,0.000138764,,,,,,,,,,,,30/12/2021,5,161,37,124,Negeri Sembilan,,
31/12/2021,Negeri Sembilan,154,169,1444,140,,,154,80,0,1023164,0.906337142,1308.750834,0.117669457,0.001385042,0.00013683,,,,,,,,,,,,31/12/2021,5,154,46,108,Negeri Sembilan,,
01/01/2021,Pahang,16,2,530,0,,,20.6,145,4.6,1684684,0.999990503,529.9949665,0.038868294,0.118867925,0,,,,,,,,,,,,01/01/2021,6,16,14,2,Pahang,,
02/01/2021,Pahang,29,63,495,0,,,19.6,105,-9.4,1684655,0.999973289,494.9867781,0.039597017,0.018181818,0,,,,,,,,,,,,02/01/2021,6,29,27,2,Pahang,,
03/01/2021,Pahang,21,9,507,0,,,18.8,60,-2.2,1684634,0.999960824,506.9801377,0.037082321,0.041420118,0,,,,,,,,,,,,03/01/2021,6,21,15,6,Pahang,,
04/01/2021,Pahang,12,21,498,0,,,20.2,125,8.2,1684622,0.999953701,497.9769431,0.040564127,0.012048193,0,,,,,,,,,,,,04/01/2021,6,12,6,6,Pahang,,
05/01/2021,Pahang,25,6,517,0,,,25,55,0,1684597,0.999938862,516.9683914,0.048358856,0.013539652,0,,,,,,,,,,,,05/01/2021,6,25,21,4,Pahang,,
06/01/2021,Pahang,11,7,521,0,,,28.2,125,17.2,1684586,0.999932332,520.9647451,0.054130342,0.030710173,0,,,,,,,,,,,,06/01/2021,6,11,10,1,Pahang,,
07/01/2021,Pahang,25,16,530,0,,,35.2,140,10.2,1684561,0.999917493,529.9562711,0.066420575,0,0,,,,,,,,,,,,07/01/2021,6,25,19,6,Pahang,,
08/01/2021,Pahang,28,0,555,0,,,49.4,180,21.4,1684533,0.999900873,554.9449843,0.089017833,0.048648649,0,,,,,,,,,,,,08/01/2021,6,28,3,25,Pahang,,
09/01/2021,Pahang,36,27,564,0,,,72.4,205,36.4,1684497,0.999879504,563.9320401,0.128384264,0.015957447,0,,,,,,,,,,,,09/01/2021,6,36,33,3,Pahang,,
10/01/2021,Pahang,41,9,596,0,,,87.8,230,46.8,1684456,0.999855167,595.9136796,0.147336775,0.018456376,0,,,,,,,,,,,,10/01/2021,6,41,37,4,Pahang,,
11/01/2021,Pahang,46,11,631,0,,,93.6,480,47.6,1684410,0.999827863,630.8913813,0.148361513,0.057052298,0,,,,,,,,,,,,11/01/2021,6,46,44,2,Pahang,,
12/01/2021,Pahang,96,36,691,0,,,97.4,715,1.4,1684314,0.999770879,690.8416774,0.140987441,0.002894356,0,,,,,,,,,,,,12/01/2021,6,96,87,9,Pahang,,
13/01/2021,Pahang,143,2,832,0,,,90.4,565,-52.6,1684171,0.999685998,831.7387499,0.108687974,0.010817308,0,,,,,,,,,,,,13/01/2021,6,143,125,18,Pahang,,
14/01/2021,Pahang,113,9,935,0,,,78.6,350,-34.4,1684058,0.999618923,934.6436932,0.084096218,0.028877005,0,,,,,,,,,,,,14/01/2021,6,113,95,18,Pahang,,
15/01/2021,Pahang,70,27,978,0,,,62.2,325,-7.8,1683988,0.999577373,977.5866706,0.063626072,0.016359918,0,,,,,,,,,,,,15/01/2021,6,70,63,7,Pahang,,
16/01/2021,Pahang,65,16,1027,0,,,58.6,305,-6.4,1683923,0.99953879,1026.526338,0.057085725,0.009737098,0,,,,,,,,,,,,16/01/2021,6,65,50,15,Pahang,,
17/01/2021,Pahang,61,10,1078,0,,,55.2,420,-5.8,1683862,0.999502582,1077.463783,0.05123142,0.013914657,0,,,,,,,,,,,,17/01/2021,6,61,49,12,Pahang,,
18/01/2021,Pahang,84,15,1147,0,,,55.2,155,-28.8,1683778,0.999452722,1146.372272,0.048151897,0.025283348,0,,,,,,,,,,,,18/01/2021,6,84,63,21,Pahang,,
19/01/2021,Pahang,31,29,1149,0,,,53.4,260,22.4,1683747,0.999434321,1148.350034,0.046501501,0.01740644,0,,,,,,,,,,,,19/01/2021,6,31,21,10,Pahang,,
20/01/2021,Pahang,52,20,1180,0,,,59.8,240,7.8,1683695,0.999403455,1179.296076,0.050708216,0,0,,,,,,,,,,,,20/01/2021,6,52,44,8,Pahang,,
21/01/2021,Pahang,48,0,1227,0,,,58.6,305,10.6,1683647,0.999374963,1226.233079,0.047788631,0.025264874,0,,,,,,,,,,,,21/01/2021,6,48,29,19,Pahang,,
22/01/2021,Pahang,61,31,1257,0,,,52,375,-9,1683586,0.999338755,1256.168815,0.04139571,0.007159905,0,,,,,,,,,,,,22/01/2021,6,61,26,35,Pahang,,
23/01/2021,Pahang,75,9,1322,0,,,48.2,315,-26.8,1683511,0.999294236,1321.06698,0.036485659,0.005295008,0,,,,,,,,,,,,23/01/2021,6,75,28,47,Pahang,,
24/01/2021,Pahang,63,7,1378,0,,,47.6,230,-15.4,1683448,0.999256841,1376.975927,0.034568506,0.000725689,0,,,,,,,,,,,,24/01/2021,6,63,32,31,Pahang,,
25/01/2021,Pahang,46,1,1423,0,,,48.4,75,2.4,1683402,0.999229536,1421.90363,0.034038875,0.002810963,0,,,,,,,,,,,,25/01/2021,6,46,30,16,Pahang,,
26/01/2021,Pahang,15,4,1434,0,,,49.4,210,34.4,1683387,0.999220633,1432.882387,0.034475963,0.013947001,0,,,,,,,,,,,,26/01/2021,6,15,13,2,Pahang,,
27/01/2021,Pahang,42,20,1456,0,,,61.2,360,19.2,1683345,0.999195702,1454.828943,0.042066801,0.004120879,0,,,,,,,,,,,,27/01/2021,6,42,35,7,Pahang,,
28/01/2021,Pahang,72,6,1522,0,,,63.6,335,-8.4,1683273,0.999152965,1520.710813,0.041822547,0.006570302,0,,,,,,,,,,,,28/01/2021,6,72,36,36,Pahang,,
29/01/2021,Pahang,67,10,1579,0,,,61.8,255,-5.2,1683206,0.999113195,1577.599735,0.039173435,0.005066498,0,,,,,,,,,,,,29/01/2021,6,67,33,34,Pahang,,
30/01/2021,Pahang,51,8,1622,0,,,61.6,370,10.6,1683155,0.999082923,1620.512501,0.038012666,0.014796547,0,,,,,,,,,,,,30/01/2021,6,51,6,45,Pahang,,
31/01/2021,Pahang,74,24,1672,0,,,67,270,-7,1683081,0.999038998,1670.393205,0.040110316,0.007177033,0,,,,,,,,,,,,31/01/2021,6,74,35,39,Pahang,,
01/02/2021,Pahang,54,12,1714,0,,,62.4,315,8.4,1683027,0.999006945,1712.297903,0.036442257,0.003500583,0,,,,,,,,,,,,01/02/2021,6,54,16,38,Pahang,,
02/02/2021,Pahang,63,6,1771,0,,,61.2,330,-1.8,1682964,0.998969549,1769.175072,0.034592393,0.241106719,0,,,,,,,,,,,,02/02/2021,6,63,24,39,Pahang,,
03/02/2021,Pahang,66,427,1410,0,,,55.4,390,-10.6,1682898,0.998930373,1408.491826,0.039332852,0.40070922,0,,,,,,,,,,,,03/02/2021,6,66,55,11,Pahang,,
04/02/2021,Pahang,78,565,923,0,,,47.8,255,-30.2,1682820,0.998884074,921.9700006,0.051845505,0.22751896,0,,,,,,,,,,,,04/02/2021,6,78,44,34,Pahang,,
05/02/2021,Pahang,51,210,764,0,,,38.6,240,-12.4,1682769,0.998853802,763.1243046,0.050581537,0.015706806,0,,,,,,,,,,,,05/02/2021,6,51,16,35,Pahang,,
06/02/2021,Pahang,48,12,799,0,,,31.2,170,-16.8,1682721,0.99882531,798.0614228,0.039094735,0.010012516,0,,,,,,,,,,,,06/02/2021,6,48,18,30,Pahang,,
07/02/2021,Pahang,34,8,824,0,,,25.8,140,-8.2,1682687,0.998805129,823.0154259,0.031348137,0.066747573,0,,,,,,,,,,,,07/02/2021,6,34,11,23,Pahang,,
08/02/2021,Pahang,28,55,796,0,,,25,160,-3,1682659,0.998788508,795.0356526,0.031445131,0.076633166,0,,,,,,,,,,,,08/02/2021,6,28,9,19,Pahang,,
09/02/2021,Pahang,32,61,767,0,,,22,70,-10,1682627,0.998769514,766.0562171,0.028718519,0.007822686,0,,,,,,,,,,,,09/02/2021,6,32,8,24,Pahang,,
10/02/2021,Pahang,14,6,775,0,,,17.6,105,3.6,1682613,0.998761204,774.0399329,0.022737845,0.014193548,0,,,,,,,,,,,,10/02/2021,6,14,2,12,Pahang,,
11/02/2021,Pahang,21,11,785,0,,,17.8,150,-3.2,1682592,0.998748739,784.0177598,0.022703567,0.006369427,0,,,,,,,,,,,,11/02/2021,6,21,5,16,Pahang,,
12/02/2021,Pahang,30,5,810,0,,,17.4,65,-12.6,1682562,0.998730931,808.9720544,0.021508778,0.012345679,0,,,,,,,,,,,,12/02/2021,6,30,5,25,Pahang,,
13/02/2021,Pahang,13,10,813,0,,,14.2,50,1.2,1682549,0.998723215,811.9619736,0.017488504,0.011070111,0,,,,,,,,,,,,13/02/2021,6,13,3,10,Pahang,,
14/02/2021,Pahang,10,9,814,0,,,22,75,12,1682539,0.998717279,812.9558651,0.02706174,0.004914005,0,,,,,,,,,,,,14/02/2021,6,10,2,8,Pahang,,
15/02/2021,Pahang,15,4,825,0,,,25.2,95,10.2,1682524,0.998708375,823.9344097,0.030584959,0.004848485,0,,,,,,,,,,,,15/02/2021,6,15,5,10,Pahang,,
16/02/2021,Pahang,19,4,840,0,,,30.6,70,11.6,1682505,0.998697097,838.9055618,0.036476096,0.391666667,0,,,,,,,,,,,,16/02/2021,6,19,13,6,Pahang,,
17/02/2021,Pahang,14,329,525,0,,,28.6,260,14.6,1682491,0.998688787,524.3116133,0.054547714,0.013333333,0,,,,,,,,,,,,17/02/2021,6,14,4,10,Pahang,,
18/02/2021,Pahang,52,7,570,0,,,27.2,130,-24.8,1682439,0.998657921,569.2350151,0.047783427,0.414035088,0,,,,,,,,,,,,18/02/2021,6,52,45,7,Pahang,,
19/02/2021,Pahang,26,236,359,0,,,19,210,-7,1682413,0.998642488,358.5126533,0.052996735,0.011142061,0,,,,,,,,,,,,19/02/2021,6,26,16,10,Pahang,,
20/02/2021,Pahang,42,4,397,0,,,15.4,45,-26.6,1682371,0.998617558,396.4511705,0.038844632,0.274559194,0,,,,,,,,,,,,20/02/2021,6,42,32,10,Pahang,,
21/02/2021,Pahang,9,109,297,0,,,10.8,35,1.8,1682362,0.998612216,296.5878281,0.036414171,0.080808081,0,,,,,,,,,,,,21/02/2021,6,9,8,1,Pahang,,
22/02/2021,Pahang,7,24,280,0,,,13.2,55,6.2,1682355,0.998608061,279.610257,0.047208569,0.107142857,0,,,,,,,,,,,,22/02/2021,6,7,5,2,Pahang,,
23/02/2021,Pahang,11,30,261,0,,,13.4,40,2.4,1682344,0.998601531,260.6349997,0.051412895,0.076628352,0,,,,,,,,,,,,23/02/2021,6,11,6,5,Pahang,,
24/02/2021,Pahang,8,20,249,0,,,13.4,95,5.4,1682336,0.998596783,248.6505989,0.053890882,0.096385542,0,,,,,,,,,,,,24/02/2021,6,8,5,3,Pahang,,
25/02/2021,Pahang,19,24,244,0,,,13.4,105,-5.6,1682317,0.998585505,243.6548632,0.054995824,0.176229508,0,,,,,,,,,,,,25/02/2021,6,19,14,5,Pahang,,
26/02/2021,Pahang,21,43,222,0,,,10.2,40,-10.8,1682296,0.99857304,221.6832148,0.046011603,0.085585586,0,,,,,,,,,,,,26/02/2021,6,21,12,9,Pahang,,
27/02/2021,Pahang,8,19,211,0,,,13.2,55,5.2,1682288,0.998568291,210.6979094,0.062648937,0.042654028,0,,,,,,,,,,,,27/02/2021,6,8,6,2,Pahang,,
28/02/2021,Pahang,11,9,213,0,,,14.2,40,3.2,1682277,0.998561762,212.6936553,0.066762687,0.084507042,0,,,,,,,,,,,,28/02/2021,6,11,8,3,Pahang,,
01/03/2021,Pahang,8,18,203,1,,,19.6,15,11.6,1682269,0.998557013,202.7070737,0.096691248,0.083743842,5.94435E-07,,,,,,,,,,,,01/03/2021,6,8,4,4,Pahang,,
02/03/2021,Pahang,3,17,188,0,,,21.4,180,18.4,1682266,0.998555232,187.7283837,0.113994483,0.074468085,0,,,,,,,,,,,,02/03/2021,6,3,2,1,Pahang,,
03/03/2021,Pahang,36,14,210,0,,,23.2,65,-12.8,1682230,0.998533864,209.6921114,0.110638401,0.157142857,0,,,,,,,,,,,,03/03/2021,6,36,22,14,Pahang,,
04/03/2021,Pahang,13,33,190,0,,,16.6,190,3.6,1682217,0.998526147,189.7199679,0.087497379,0.121052632,0,,,,,,,,,,,,04/03/2021,6,13,9,4,Pahang,,
05/03/2021,Pahang,38,23,205,0,,,14.4,85,-23.6,1682179,0.998503591,204.6932362,0.070349174,0.151219512,0,,,,,,,,,,,,05/03/2021,6,38,29,9,Pahang,,
06/03/2021,Pahang,17,31,190,0,,,7,60,-10,1682162,0.9984935,189.7137651,0.036897692,0.042105263,0,,,,,,,,,,,,06/03/2021,6,17,14,3,Pahang,,
07/03/2021,Pahang,12,8,194,0,,,5,15,-7,1682150,0.998486377,193.7063572,0.025812266,0.072164948,0,,,,,,,,,,,,07/03/2021,6,12,9,3,Pahang,,
08/03/2021,Pahang,3,14,183,0,,,3.4,10,0.4,1682147,0.998484597,182.7226812,0.018607433,0.043715847,0,,,,,,,,,,,,08/03/2021,6,3,3,0,Pahang,,
09/03/2021,Pahang,2,8,177,0,,,4.4,5,2.4,1682145,0.99848341,176.7315635,0.024896515,0.231638418,0,,,,,,,,,,,,09/03/2021,6,2,0,2,Pahang,,
10/03/2021,Pahang,1,41,137,0,,,5,35,4,1682144,0.998482816,136.7921458,0.036551806,0.080291971,0,,,,,,,,,,,,10/03/2021,6,1,1,0,Pahang,,
11/03/2021,Pahang,7,11,133,0,,,8.2,20,1.2,1682137,0.998478661,132.7976619,0.061748075,0.278195489,0,,,,,,,,,,,,11/03/2021,6,7,6,1,Pahang,,
12/03/2021,Pahang,4,37,100,0,,,7.2,40,3.2,1682133,0.998476287,99.84762866,0.072109875,0.03,0,,,,,,,,,,,,12/03/2021,6,4,3,1,Pahang,,
13/03/2021,Pahang,8,3,105,0,,,7,25,-1,1682125,0.998471538,104.8395115,0.06676872,0.123809524,0,,,,,,,,,,,,13/03/2021,6,8,8,0,Pahang,,
